L2 R' L' D2 B2 D' R D2 L' B2 F' B L2 U B ,F' D R' y- D' L D' L y+ F2 U2 B2 U2 F2,17,true
U2 B L2 B L2 R' D2 F' U F' L R' L F D ,y+ F' D R' y- R' D2 R' F2 U2 B2 U2 F2 y+ F2 U2 B2 U2 F2 y-,27,true
U' D F2 U' D' F R2 U2 D' B' U R2 D2 F2 B2 ,y+ L y- D' B2 D R2 y+ F2 U' R2 U F2 y-,15,true
B' U B2 D' U' F' D' F2 L D2 B F B L2 F ,y+ F' D R' y- D' B2 F2 L2 F2 U2 B2 U2 F2,20,true
D' U' R D' F' D R2 L2 U2 D2 F2 L' F2 L D' ,y+ y+ D' F R' F' y+ y+ R2 F2 U' R2 U F2 y+ y+ F2 U' R2 U F2 y+ y+,22,true
F L' U F2 B2 F2 U2 B L2 U L2 F2 L' F2 L2 ,D' R' y+ y+ R' y+ y+ D' R2 F2 U2 B2 U' L2 U2 R2 U F2,22,true
B' D L2 R L2 D' L2 U L2 R F2 U2 R2 B R' ,L D' L U L2 U' F2 y+ F2 U' R2 U F2 y-,17,true
U' L2 F2 B' D2 L D R' L' B L U' F L D' ,D' F R' F' D' F R' F' D L2 F2 U2 B2 U2 F2 y+ F2 U2 B2 U2 F2 y-,31,true
B2 D B' F L B2 U R L2 U F' D' B D' B' ,F R' F' y+ y+ F R' F' y+ L y+ U' R2 U F2,13,true
F B' F' B' R' B L B D2 U L2 R D2 F' U2 ,F' D R' L y- L y+ F2 y+ y+ F2 U' R2 U F2 y+ y+,15,true
L B D F2 D2 B L2 U2 R2 B' F2 L' U2 D F' ,y- F R' F' y+ D' B2 F2 U2 B2 U R2 U F2,18,true
B2 L' R D F2 B2 R' U D2 F2 U' R' U2 D U2 ,R' D2 R' F2 U' R2 U F2 y+ y+ F2 U' R2 U F2 y+ y+,20,true
B' U B2 F U2 B2 F U R2 D2 L2 D L B2 D ,F' D R' D2 R' B2 y+ y+ F2 U' R2 U F2 y+ y+,16,true
U' R2 U L' U2 R' D U' F2 U' B R L F' R' ,F R' F' D' R' y+ y+ R' y+ D2 F R' F' y+ F2 U' R2 U' B2 U2 F2,23,true
L2 R2 B2 L2 R' B' R' B R' F U B2 U R2 D' ,y+ y+ D' R' y+ F R' F' y+ y+ F2 U2 B2 U2 F2 y-,15,true
U2 D' L B2 F2 D U D' B' R2 D B D F' B' ,R' D2 R' D L2 y+ F2 U2 B2 U2 F2 y-,17,true
L2 U R2 U B D' L2 U' R' B' U2 F' B' R D ,F R' F' y+ y+ F' D R' y+ D L y+ y+ F2 U2 B2 U2 F2 y-,18,true
B' L R F' D2 B R2 F' B R B' D2 F' R F ,D' L F' D R' y+ y+ D' L y- F2 U' R2 U' B2 U2 F2 y-,19,true
F' U' D' L' B R D F' L' B2 F D L2 R' U2 ,D2 F R' F' y+ D2 L F2 U' R2 U F2 y-,16,true
D' L F2 R2 U2 B2 D2 F2 R2 D' R' F2 R' B2 U2 ,y+ y+ R' y+ y+ R2 F2 U' R2 U' B2 U' L2 U' F2,17,true
U' R2 F2 R L B2 L' D' U' F R2 D2 F R U2 ,F' D R' D' R' D' R2 F2 U2 B2 U2 F2,18,true
F L2 U2 F R2 F2 R' L2 B' U' B D2 L U' D2 ,R' y+ D' R' y- D2 R2 y+ F2 U2 B2 U R2 U F2 y-,19,true
F R' B2 U' F' U D L2 R F R2 D R F U' ,R' D' R' D L2 y+ y+ F2 U' R2 U F2 y+ y+,14,true
U2 B2 L2 F R2 D U2 B2 D' U' F D2 U B R2 ,y+ R' y- F2 L2 F2 U2 B2 U R2 U2 L2 U' F2,21,true
D R U' L B U2 F2 R' U L U F' U L B2 ,F' D R' y+ y+ F R' F' y+ R' y+ D' R2 F2 U L2 U2 R2 U F2,22,true
F' L F U F B' D2 R2 F B L F2 B2 U D' ,y+ y+ L D' L y+ y+ D' B2 F2 U2 B2 U' L2 U2 R2 U F2,22,true
B R L B2 U R D U2 R2 L2 B' L B2 L2 D ,F' D R' D' R' D' R' B2,9,true
U2 L' B' U' F R F2 D2 U2 B D2 L F B2 L ,y+ y+ R' D2 R' y+ F R' F' y+ F2 U2 B2 U2 F2,17,true
F D2 B' R L' U' L' B L' U L U2 L2 D R ,R' D' R' D' R' y- L y+ F2 U L2 U B2 U2 F2,18,true
F' D B2 L' U' B' L' D' R2 U' D L' D' R2 U ,y+ L y- D2 L2 F2 U' R2 U2 L2 U B2 U2 F2,21,true
B U' F2 R B2 D L' F R U' D2 F2 D2 F' L ,R' y+ y+ D' F R' F' y+ y+ D' U L2 U2 R2 U' B2 U2 F2,20,true
B' D2 R U' D2 L U F B2 R2 U2 D U2 F2 L ,y+ F' D R' y+ R' y+ y+ R' D2 B2 F2 U L2 U2 R2 U F2,21,true
U2 R' F2 U2 D L' F B' R U' L2 R2 F L2 R2 ,y+ F' D R' L y+ y+ F' D R' D2 R' y+ F2 U L2 U B2 U R2 U F2,24,true
D F B2 R' U2 L D' R' L2 U' D' L' F' B L ,L y+ F' D R' y+ y+ D' R' y+ D' F R' F' F2 U L2 U' F2,18,true
B2 F2 D2 L B2 U' D' F' B' U D' R2 D2 R B ,y+ F' D R' D' F R' F' D' R' y- D F2 y+ F2 U2 B2 U2 F2 y-,22,true
B2 R B' D B D2 L' U' F2 U2 F' B' R L' D2 ,F R' F' y+ R' y+ R' y+ y+ D R2 F2 U' R2 U' B2 U2 F2,20,true
