B D B2 U F2 U' L2 U' B D' U B2 U' R' F ,y+ D' F R' F' y+ y+ R' D R' y+ F2 U2 B2 U R2 U F2,19,true
D' L B L' U' L2 F' B U D' U2 L' U2 D L' ,y+ L y+ D' L y+ y+ F2 U2 B2 U' L2 U2 R2 U F2,19,true
F2 B2 U L F2 R2 B' U L2 F2 U' B' L F D2 ,y+ y+ L y+ R' y+ D L2 F2 U2 B2 U' L2 U' F2,17,true
U' B2 U F2 R' B2 U2 L D L2 F D2 U' D2 F ,D' L D' L y+ D2 F R' F' y- F2 U2 B2 U' L2 U2 R2 U F2,25,true
F L' D2 F B2 F' R D' R2 B' U2 L D2 B F2 ,y+ F R' F' y+ R' y+ D2 L y+ y+ F2 U' R2 U F2 y-,15,true
L U' F' B2 F' B' F2 D F' L2 R L2 D2 F2 U2 ,L y+ F' D R' D' R' D2 R' y- F2 U' R2 U F2,17,true
D' B U' L B R' B U B2 U' D' F' U2 D' F2 ,F' D R' y+ F R' F' y+ D' F R' F' y+ y+ F2 U2 B2 U R2 U2 L2 U' F2,26,true
L' B2 F' D' F2 B U' R B F2 B' F B L' R2 ,y+ y+ F R' F' y+ D' F R' F' y+ F2 U L2 U' F2 y+ F2 U' R2 U F2 y-,23,true
F B2 F2 D B2 U' B U2 R2 B' D2 F L2 U' B' ,y- L D' L y+ U' R2 U2 L2 U B2 U2 F2,17,true
D2 B' U D' B U B' F D' F' D2 R U' B F ,y+ D2 R' y+ y+ D R' y+ F2 U2 B2 U R2 U F2,17,true
U L B R L F' L B' F B' L D2 U2 B F ,F' D R' D' F R' F' y- F' D R' D R' y+ y+ F2 U' R2 U F2 y-,20,true
D' F' U' B' F' R U2 L D2 B' D2 R L2 B' F ,y+ F' D R' y- F' D R' D' F R' F' D2 R' F2 U' R2 U F2 y+ y+ F2 U' R2 U F2 y+ y+,29,true
B' L2 U' L' R2 D R B2 U B2 U F' L D' U ,y+ F' D R' y+ y+ F R' F' y+ F R' F' D2 F R' F' F2 U2 B2 U2 F2,24,true
D' U B2 U' L' R2 B R2 D2 F' U R F' R2 U2 ,y+ y+ D L y+ y+ F2 U2 B2 U' L2 U2 R2 U F2,18,true
U2 B2 R' D B' L U' B' U D2 B2 R L B L' ,y+ y+ F' D R' y+ y+ F' D R' y+ F2 U2 B2 U2 F2 y-,16,true
D2 U2 B' D' F' D2 R' F' L B2 L' B' L R2 B2 ,y+ D' F R' F' y+ D2 L y+ y+ B2 F2 U L2 U' F2 y+ F2 U' R2 U F2 y-,25,true
B2 U2 L' R' B2 D' R' F' B' U' F2 L2 R' U B' ,y+ F' D R' D' F R' F' y+ y+ F' D R' D L y- F2 U' R2 U F2 y+ y+,20,true
D B2 U R D L2 U2 F' D2 L R' D' R2 B' L2 ,F' D R' L y+ y+ D' F R' F' y+ y+ F2 U2 B2 U2 F2,18,true
L B2 R' F2 L' U F2 B' F D2 B D' F L2 D ,y- D' F R' F' D' F R' F' y+ R2 F2 U L2 U2 R2 U' B2 U2 F2,26,true
D2 F' D2 L' B R B2 U2 R2 F R' U2 F2 L2 U ,F R' F' y+ L D2 L y- F2 U L2 U B2 U2 F2,19,true
L2 D' F' D U R U' R' D2 U D2 L' R U L ,y+ D' R' y- D R2 y+ F2 U2 B2 U2 F2 y-,15,true
B' D' L' F2 R2 F' B2 D U L2 B2 F B' U2 B ,L D' L D' L y+ D2 R' y- F2 U L2 U B2 U R2 U F2,22,true
U' R' D' L' R2 F' D2 R2 U2 L' U2 D L2 R D ,F R' F' D' R' y- D F R' F' y- F2 U' R2 U F2 y+ y+,17,true
F R L2 F2 L2 F R' U' L2 D' U L U2 L R2 ,y+ y+ R' y+ y+ B2 R2 U L2 U2 R2 U' B2 U2 F2,19,true
F U L' R' L' U R2 L B R2 L2 U' R B D ,F' D R' y+ L y+ D' L y- F2 U2 B2 U R2 U F2 y-,18,true
L' D' U B D2 U2 F D' U' D2 U B R2 U2 R ,y+ F R' F' y- R2 F2 U2 B2 U2 F2 y+ F2 U2 B2 U2 F2 y-,25,true
L R2 L D B' D2 U B2 F2 L U L2 R' L' F2 ,y+ y+ L y+ y+ F2 L2 F2 U' R2 U' B2 U' L2 U' F2,19,true
F L R2 L' F2 U' L' U F D R B2 U L B' ,R' y+ y+ F R' F' D' F R' F' y+ y+ D B2 F2 U' R2 U F2 y+ y+ F2 U' R2 U F2 y+ y+,27,true
B' R U2 R D' B2 F2 B' R D L2 F2 B' R' B ,y+ y+ F' D R' D' R' y+ F R' F' D' F R' F' y+ y+ F2 U2 B2 U2 F2 y-,22,true
L' D' R' L' D2 L' B2 L' D' R B2 R' L' B F' ,y+ R' y+ L D2 L y+ y+ B2 F2 U' R2 U F2,15,true
U2 D' B' F' B L2 B' F R' L' D B U' D' L' ,y+ F' D R' y+ y+ R' y+ D' B2 F2 U' R2 U F2,15,true
D L U2 D U' L2 U' D' F2 L B R U L U2 ,R' L B2 F2 U' R2 U F2,12,true
F U' D U2 R B D U2 D2 F2 R2 F' R2 U' B2 ,y+ L y- B2 R2,5,true
U' D' L' R' B R D U2 D R' B2 D2 L B2 D2 ,D' F R' F' y+ y+ F' D R' y+ y+ F2 U' R2 U F2,15,true
U' B' D' R2 D B R B L' R' B D2 B2 D U2 ,L y- D' R' D' R' y+ y+ F2 U2 B2 U R2 U F2 y-,17,true
D2 R' F' L2 B' F2 U2 F2 B U D2 U' R F D' ,y+ F R' F' y+ L y+ D R' y+ y+ F2 U2 B2 U R2 U F2 y-,18,true
F' U F' B' L' D2 L2 D' L' B R2 U2 R2 L' B2 ,F' D R' y+ R' y+ D L y+ y+,6,true
L2 B F U2 R L' B L2 U2 D L R' B2 L2 U' ,F' D R' y+ L y+ y+ D F R' F' y+ F2 U2 B2 U2 F2 y+ F2 U2 B2 U2 F2 y-,28,true
